1.0,0.65,0.0,0.0,-0.01,0.0,0.0,0.01,NaN,0.63,0.15,-0.03,0.42,NaN,0.03,0.0,-0.03,0.02,0.03,0.02,0.04,-0.02,0.01,0.69,0.04,0.35,0.02,0.0,0.36,0.0,0.04,NaN,-0.04
0.65,1.0,-0.06,0.02,-0.05,-0.04,-0.04,-0.06,NaN,0.73,0.18,-0.05,0.41,NaN,0.03,-0.01,-0.06,-0.02,0.02,0.07,0.03,-0.02,-0.03,0.67,-0.01,0.46,0.04,-0.02,0.46,0.01,0.02,NaN,-0.01
0.0,-0.06,1.0,-0.05,0.09,0.03,-0.04,0.1,NaN,0.02,-0.02,0.06,0.07,NaN,0.03,-0.07,-0.07,0.14,0.05,-0.04,0.03,0.08,-0.02,-0.06,0.16,0.0,0.07,0.02,-0.07,0.03,-0.11,NaN,0.05
0.0,0.02,-0.05,1.0,-0.01,0.01,0.01,-0.03,NaN,-0.01,0.0,-0.03,-0.02,NaN,0.03,0.02,0.0,0.02,0.01,-0.01,0.02,0.02,-0.01,0.04,0.08,-0.04,0.07,0.0,0.04,0.02,0.05,NaN,0.04
-0.01,-0.05,0.09,-0.01,0.99,-0.02,-0.01,0.06,NaN,-0.07,0.01,0.25,-0.04,NaN,0.4,0.02,0.02,0.2,0.02,-0.09,0.02,-0.03,0.0,-0.08,0.1,-0.04,0.05,-0.04,-0.02,0.0,-0.14,NaN,0.0
0.0,-0.04,0.03,0.01,-0.02,1.0,0.27,-0.02,NaN,-0.01,0.01,0.03,-0.02,NaN,-0.01,0.33,0.06,-0.12,0.01,0.0,0.0,0.1,-0.07,-0.04,-0.01,-0.02,-0.03,0.16,0.0,0.08,0.05,NaN,-0.03
0.0,-0.04,-0.04,0.01,-0.01,0.27,1.0,-0.03,NaN,-0.03,0.0,0.02,-0.04,NaN,0.0,0.27,0.11,-0.06,0.05,0.02,-0.01,0.05,-0.08,-0.11,0.0,0.01,0.02,0.1,-0.04,0.13,0.03,NaN,-0.02
0.01,-0.06,0.1,-0.03,0.06,-0.02,-0.03,1.0,NaN,-0.01,0.01,0.1,0.0,NaN,0.09,0.0,0.06,0.29,0.09,-0.06,0.0,-0.03,-0.05,0.04,-0.03,-0.01,-0.01,-0.06,0.03,-0.03,-0.06,NaN,-0.04
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.63,0.73,0.02,-0.01,-0.07,-0.01,-0.03,-0.01,NaN,1.0,0.19,-0.04,0.62,NaN,0.02,0.03,-0.02,-0.03,0.0,0.06,0.02,-0.02,-0.04,0.65,-0.03,0.63,-0.01,-0.01,0.4,0.05,0.04,NaN,-0.01
